SL NO,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short Description,Description,In stock?,Sold individually?,Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Position,Meta: _specifications_display_attributes,Meta: _per_product_admin_commission_type,product-url,image_url
,simple,,NAP211-32 HOUSING UNITS 2'' Pillow Block Bearings,1,0,visible,"NAP211-32 HOUSING UNITS 2'' Pillow Block Bearings

Relubricable Unit, Wide Inner Race, Eccentric Locking, Normal Duty","NAP211-32 HOUSING UNITS 2'' Pillow Block Bearings
Payment Terms: T/T or paypal or western union.
Package: Standard or According to your requirements.
Bearing shop online - Best Bearings Supplier In China
Not all bearings are equal, and not all bearings can work freely. But with the right bearings, you can make your machine worry-free working. Being one of the best Bearings suppliers in China, we can offer you the right bearings based on your needs.
 
 ",1,0,1,Thanks for purchasing,1869.1499999999999,2433.5499999999997,,,Dhaka Only,"hcp_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1_1_1_1_1_1_1.png,nap2_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1_1_1_1_1_1_1.jpg",0,yes,percentage,http://www.bearingshop.org/nap211-32-housing-units-2-pillow-block-bearings.html,"http://www.bearingshop.org/media/catalog/product/cache/3/image/1200x1200/5ec43ad67c63175220f434b14e0d64e4/n/a/nap2_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1_1_1_1_1_1_1.jpg,http://www.bearingshop.org/media/catalog/product/cache/3/image/1200x1200/5ec43ad67c63175220f434b14e0d64e4/h/c/hcp_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1_1_1_1_1_1_1.png"
,simple,,"NSK 7014A5TRSULP4Y Single Row Angular Contact Ball Bearings ,Super Precision Bearings",1,0,visible,NSK 7014A5TRSULP4Y SUPER PRECISION.- 7000 SERIES ANGULAR CONTACT BEARING SINGLE,,1,0,1,Thanks for purchasing,,10789.050000000001,,,Dhaka Only,4834ddf2423d4e72229e552d9e44e6c8.jpg,0,yes,percentage,http://www.bearingshop.org/nsk-7014a5trsulp4y-single-row-angular-contact-ball-bearings-super-precision-bearings.html,http://www.bearingshop.org/media/catalog/product/cache/3/image/1200x1200/5ec43ad67c63175220f434b14e0d64e4/4/8/4834ddf2423d4e72229e552d9e44e6c8.jpg
,simple,,LFR50/5-4-2RS-RB LFR50/5-4 NPP Track rollers bearings,1,0,visible,"LFR50/5-4-2RS-RB LFR50/5-4NPP Track rollers bearings

locating bearing track rollers, double row, gap seals on both sides, design with anti-corrosion protection","LFR50/5-4-2RS-RB LFR50/5-4 NPP Track rollers bearings
locating bearing track rollers, double row, gap seals on both sides, design with anti-corrosion protection
The price is FOB CHINA, Brand（Manufacturer）: FIJ
Payment Terms: T/T or paypal or western union.
Package: Standard or According to your requirements.
Bearing shop online - Best Bearings Supplier In China
Not all bearings are equal, and not all bearings can work freely. But with the right bearings, you can make your machine worry-free working. Being one of the best Bearings suppliers in China, we can offer you the right bearings based on your needs.
 ",1,0,1,Thanks for purchasing,212.5,297.5,,,Dhaka Only,"91146514_1_1_1_1_1_1_1_1_1_1_1.jpg,109149_aah_ind_2_1_1_1_1_1_1_1_2_1_1_1_1_1_1_1_1_1_1.gif",0,yes,percentage,http://www.bearingshop.org/lfr50-5-4-2rs-rb-lfr50-5-4-npp-track-rollers-bearings.html,"http://www.bearingshop.org/media/catalog/product/cache/3/image/1200x1200/5ec43ad67c63175220f434b14e0d64e4/1/0/109149_aah_ind_2_1_1_1_1_1_1_1_2_1_1_1_1_1_1_1_1_1_1.gif,http://www.bearingshop.org/media/catalog/product/cache/3/image/1200x1200/5ec43ad67c63175220f434b14e0d64e4/9/1/91146514_1_1_1_1_1_1_1_1_1_1_1.jpg"
,simple,,SKF 51208 Ball Thrust Bearings,1,0,visible,"Ball Thrust Bearing - Single-Direction, 40 mm Bore, 68 mm OD, 19 mm Width, Separable",,1,0,1,Thanks for purchasing,,1406.75,,,Dhaka Only,68cd7f50435892936a3afcd106b97716_75.jpg,0,yes,percentage,http://www.bearingshop.org/skf-51208-ball-thrust-bearings.html,http://www.bearingshop.org/media/catalog/product/cache/3/image/1200x1200/5ec43ad67c63175220f434b14e0d64e4/6/8/68cd7f50435892936a3afcd106b97716_75.jpg
,simple,,NTN AEL206-104D1 Ball Insert Bearings,1,0,visible,"Ball Insert Bearing - Round Bore, 1.2500 in ID, 2.4409 in OD, 0.9370 in Width, Standard Duty Duty, Eccentric Collar",,1,0,1,Thanks for purchasing,,1502.8,,,Dhaka Only,57546df9c806056c3fdbe911be59bcb0_1.jpg,0,yes,percentage,http://www.bearingshop.org/ntn-ael206104d1-ball-insert-bearings.html,http://www.bearingshop.org/media/catalog/product/cache/3/image/1200x1200/5ec43ad67c63175220f434b14e0d64e4/5/7/57546df9c806056c3fdbe911be59bcb0_1.jpg
,simple,,NTN UEL204-012D1 Ball Insert Bearings,1,0,visible,"Ball Insert Bearing - Round Bore, 0.7500 in ID, 1.8504 in OD, 1.3465 in Width, Standard Duty Duty, Eccentric Collar",,1,0,1,Thanks for purchasing,,2081.65,,,Dhaka Only,320281dd2f000b97263e5c6d6aeec6f5_25.jpg,0,yes,percentage,http://www.bearingshop.org/ntn-uel204012d1-ball-insert-bearings.html,http://www.bearingshop.org/media/catalog/product/cache/3/image/1200x1200/5ec43ad67c63175220f434b14e0d64e4/3/2/320281dd2f000b97263e5c6d6aeec6f5_25.jpg
,simple,,LFR50/5-6-2RS-RB LFR50/5-6 NPP Track rollers bearings,1,0,visible,"LFR50/5-6-2RS-RB LFR50/5-6NPP Track rollers bearings

locating bearing track rollers, double row, gap seals on both sides, design with anti-corrosion protection","LFR50/5-6-2RS-RB LFR50/5-6 NPP Track rollers bearings
locating bearing track rollers, double row, gap seals on both sides, design with anti-corrosion protection
The price is FOB CHINA, Brand（Manufacturer）: FIJ
Payment Terms: T/T or paypal or western union.
Package: Standard or According to your requirements.
Bearing shop online - Best Bearings Supplier In China
Not all bearings are equal, and not all bearings can work freely. But with the right bearings, you can make your machine worry-free working. Being one of the best Bearings suppliers in China, we can offer you the right bearings based on your needs.
 ",1,0,1,Thanks for purchasing,,216.74999999999997,,,Dhaka Only,"109149_aah_ind_2_1_1_1_1_1_1_1_2_1_1_1_1_1_1_1_1_1.gif,91146514_1_1_1_1_1_1_1_1_1_1.jpg",0,yes,percentage,http://www.bearingshop.org/lfr50-5-6-2rs-rb-lfr50-5-6-npp-track-rollers-bearings.html,"http://www.bearingshop.org/media/catalog/product/cache/3/image/1200x1200/5ec43ad67c63175220f434b14e0d64e4/1/0/109149_aah_ind_2_1_1_1_1_1_1_1_2_1_1_1_1_1_1_1_1_1.gif,http://www.bearingshop.org/media/catalog/product/cache/3/image/1200x1200/5ec43ad67c63175220f434b14e0d64e4/9/1/91146514_1_1_1_1_1_1_1_1_1_1.jpg"
,simple,,60/32-ZZ Deep Groove Ball Bearings Radial Ball Bearings 60/32-2Z,1,0,visible,"60/32-ZZ Deep Groove Ball Bearings Radial Ball Bearings 60/32-2Z 

Bore 1.2598, OD 2.2835, Width .5118



","60/32-ZZ Deep Groove Ball Bearings Radial Ball Bearings 60/32-2Z 
The price is FOB CHINA, Brand（Manufacturer）: FIJ
Payment Terms: T/T or paypal or western union.
Package: Standard or According to your requirements.
Bearing shop online - Best Bearings Supplier In China
Not all bearings are equal, and not all bearings can work freely. But with the right bearings, you can make your machine worry-free working. Being one of the best Bearings suppliers in China, we can offer you the right bearings based on your needs.
 
60/32-ZZ Deep Groove Ball Bearings Radial Ball Bearings 60/32-2Z Dimensions
 
 ",1,0,1,Thanks for purchasing,102.0,170.0,,,Dhaka Only,"2rs_1__2.jpg,3_fe3169257d17647c18deb9f2aa728ceb_2_19.jpg",0,yes,percentage,http://www.bearingshop.org/60-32-zz-deep-groove-ball-bearings-radial-ball-bearings-60-32-2z.html,"http://www.bearingshop.org/media/catalog/product/cache/3/image/1200x1200/5ec43ad67c63175220f434b14e0d64e4/2/r/2rs_1__2.jpg,http://www.bearingshop.org/media/catalog/product/cache/3/image/1200x1200/5ec43ad67c63175220f434b14e0d64e4/3/_/3_fe3169257d17647c18deb9f2aa728ceb_2_19.jpg"
,simple,,UCP X12-38 HOUSING UNITS 2-3/8 Pillow Block Bearing Medium Duty,1,0,visible,"UCP X12-38 HOUSING UNITS 2-3/8 Pillow Block Bearing Medium Duty

Wide Inner Race, Set Screw Locking, Medium Duty

","UCP X12-38 HOUSING UNITS 2-3/8 Pillow Block Bearing Medium Duty
Payment Terms: T/T or paypal or western union.
Package: Standard or According to your requirements.
Bearing shop online - Best Bearings Supplier In China
Not all bearings are equal, and not all bearings can work freely. But with the right bearings, you can make your machine worry-free working. Being one of the best Bearings suppliers in China, we can offer you the right bearings based on your needs.
 
 
 
 ",1,0,1,Thanks for purchasing,3902.35,4250.0,,,Dhaka Only,"ucpx-design_1__1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1.jpg,ucpx_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1.jpg",0,yes,percentage,http://www.bearingshop.org/ucp-x12-38-housing-units-2-3-8-pillow-block-bearing-medium-duty.html,"http://www.bearingshop.org/media/catalog/product/cache/3/image/1200x1200/5ec43ad67c63175220f434b14e0d64e4/u/c/ucpx_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1.jpg,http://www.bearingshop.org/media/catalog/product/cache/3/image/1200x1200/5ec43ad67c63175220f434b14e0d64e4/u/c/ucpx-design_1__1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1.jpg"
,simple,,6017-2RS Deep Groove Ball Bearings Radial Ball Bearings,1,0,visible,"6017-2RS Deep Groove Ball Bearings Radial Ball Bearings

Bore 3.3465, OD 5.1181, Width .8661

","6017-2RS Deep Groove Ball Bearings Radial Ball Bearings
The price is FOB CHINA, Brand（Manufacturer）: FIJ
Payment Terms: T/T or paypal or western union.
Package: Standard or According to your requirements.
Bearing shop online - Best Bearings Supplier In China
Not all bearings are equal, and not all bearings can work freely. But with the right bearings, you can make your machine worry-free working. Being one of the best Bearings suppliers in China, we can offer you the right bearings based on your needs.
 
6017-2RS Deep Groove Ball Bearings Radial Ball Bearings Dimensions
 
 ",1,0,1,Thanks for purchasing,844.9,1019.15,,,Dhaka Only,"14-1032455-35190751_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1.jpg,2rs_1__1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1.jpg",0,yes,percentage,http://www.bearingshop.org/6017-2rs-deep-groove-ball-bearings-radial-ball-bearings.html,"http://www.bearingshop.org/media/catalog/product/cache/3/image/1200x1200/5ec43ad67c63175220f434b14e0d64e4/2/r/2rs_1__1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1.jpg,http://www.bearingshop.org/media/catalog/product/cache/3/image/1200x1200/5ec43ad67c63175220f434b14e0d64e4/1/4/14-1032455-35190751_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1.jpg"
,simple,,NTN A-UEL207-107D1 Ball Insert Bearings,1,0,visible,"Ball Insert Bearing - Round Bore, 1.4375 in ID, 2.8346 in OD, 1.4803 in Width, Standard Duty Duty, Eccentric Collar",,1,0,1,Thanks for purchasing,,3619.2999999999997,,,Dhaka Only,320281dd2f000b97263e5c6d6aeec6f5_62.jpg,0,yes,percentage,http://www.bearingshop.org/ntn-auel207107d1-ball-insert-bearings.html,http://www.bearingshop.org/media/catalog/product/cache/3/image/1200x1200/5ec43ad67c63175220f434b14e0d64e4/3/2/320281dd2f000b97263e5c6d6aeec6f5_62.jpg
,simple,,NTN NPS114RRC Ball Insert Bearings,1,0,visible,"Ball Insert Bearing - Round Bore, 1.8750 in ID, 3.5433 in OD, 1.1890 in Width, Standard Duty Duty, Eccentric Collar",,1,0,1,Thanks for purchasing,,2701.3,,,Dhaka Only,57546df9c806056c3fdbe911be59bcb0_65.jpg,0,yes,percentage,http://www.bearingshop.org/ntn-nps114rrc-ball-insert-bearings.html,http://www.bearingshop.org/media/catalog/product/cache/3/image/1200x1200/5ec43ad67c63175220f434b14e0d64e4/5/7/57546df9c806056c3fdbe911be59bcb0_65.jpg
